[] [Select] len=6 codes=83,101,108,101,99,116
[1001] [베이지] len=3 codes=48288,51060,51648
[202] [블랙] len=2 codes=48660,47001
[205] [블루] len=2 codes=48660,47336
[1016] [브론즈] len=3 codes=48652,47200,51592
[1004] [브라운] len=3 codes=48652,46972,50868
[211] [골드] len=2 codes=44264,46300
[204] [그레이] len=3 codes=44536,47112,51060
[207] [그린] len=2 codes=44536,47536
[1009] [마룬] len=2 codes=47560,47340
[213] [오렌지] len=3 codes=50724,47116,51648
[999] [기타] len=2 codes=44592,53440
[209] [펄] len=1 codes=54148
[216] [핑크] len=2 codes=54609,53356
[1002] [퍼플] len=2 codes=54140,54540
[218] [레드] len=2 codes=47112,46300
[203] [실버] len=2 codes=49892,48260
[206] [화이트] len=3 codes=54868,51060,53944
[1000] [옐로우] len=3 codes=50704,47196,50864
